ARG_hit_id	genome_id	genome_set	ARG_gene	ARG_class	best_hit_MGE_id	best_hit_MGE_category	best_hit
ARGH_001037	LABG_003510	Rep99	lnuB	MLS			no
ARGH_001038	LABG_003510	Rep99	lsaE	multidrug			no
ARGH_001039	LABG_003510	Rep99	tet(L)	tetracycline			no
ARGH_001040	LABG_003510	Rep99	tet(M)	tetracycline			no
ARGH_001041	LABG_003510	Rep99	vatE	MLS			no
ARGH_001042	LABG_003511	MQ	ErmT	MLS			no
ARGH_001043	LABG_003511	MQ	lnuA	MLS			no
ARGH_001044	LABG_003511	MQ	tet(W)	tetracycline			no
ARGH_001045	LABG_003511	MQ	vatE	MLS			no
ARGH_001046	LABG_003512	Rep99	tet(W)	tetracycline			no
ARGH_001047	LABG_003543	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001048	LABG_003560	MQ	lnuA	MLS			no
ARGH_001049	LABG_003607	Rep99	ErmB	MLS	832_tnpA_GU591497.1	IS_or_transposase	yes
ARGH_001050	LABG_003607	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001051	LABG_003610	Rep99	ErmB	MLS	832_tnpA_GU591497.1	IS_or_transposase	yes
ARGH_001052	LABG_003610	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001053	LABG_003614	Rep99	tet(W)	tetracycline			no
ARGH_001054	LABG_003621	MQ	dfrA27	trimethoprim			no
ARGH_001055	LABG_003628	MQ	APH(3')-Ia	aminoglycoside	242_ColRNAI_1__DQ298019	plasmid_related	yes
ARGH_001056	LABG_003630	MQ	APH(3')-Ia	aminoglycoside	242_ColRNAI_1__DQ298019	plasmid_related	yes
ARGH_001057	LABG_003631	MQ	APH(3')-Ia	aminoglycoside	242_ColRNAI_1__DQ298019	plasmid_related	yes
ARGH_001058	LABG_003634	MQ	aadA	aminoglycoside	242_ColRNAI_1__DQ298019	plasmid_related	yes
ARGH_001059	LABG_003638	MQ	aadA	aminoglycoside			no
ARGH_001060	LABG_003639	MQ	aadA	aminoglycoside	242_ColRNAI_1__DQ298019	plasmid_related	yes
ARGH_001061	LABG_003643	MQ	APH(3')-Ia	aminoglycoside	242_ColRNAI_1__DQ298019	plasmid_related	yes
ARGH_001062	LABG_003662	Rep99	tet(W)	tetracycline			no
ARGH_001063	LABG_003753	MQ	lnuA	MLS			no
ARGH_001064	LABG_003754	MQ	lnuA	MLS			no
ARGH_001065	LABG_003788	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001066	LABG_003805	MQ	lnuA	MLS			no
ARGH_001067	LABG_003867	MQ	ANT(4')-Ia	aminoglycoside			no
ARGH_001068	LABG_003867	MQ	ErmB	MLS			no
ARGH_001069	LABG_003867	MQ	fexA	phenicol			no
ARGH_001070	LABG_003867	MQ	lnuC	MLS			no
ARGH_001071	LABG_003867	MQ	tet(M)	tetracycline	872_Tn916-orf6_KC414929	Tn916	yes
ARGH_001072	LABG_003867	MQ	vatE	MLS			no
ARGH_001073	LABG_003871	Rep99	tet(W)	tetracycline			no
ARGH_001074	LABG_003887	Rep99	tet(W)	tetracycline			no
ARGH_001075	LABG_003979	Rep99	tet(W)	tetracycline			no
ARGH_001076	LABG_004023	MQ	lnuC	MLS			no
ARGH_001077	LABG_004045	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001078	LABG_004052	Rep99	tet(O)	tetracycline			no
ARGH_001079	LABG_004071	Rep99	tet(M)	tetracycline			no
ARGH_001080	LABG_004076	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001081	LABG_004077	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001082	LABG_004079	MQ	lnuA	MLS			no
ARGH_001083	LABG_004079	MQ	tet(M)	tetracycline			no
ARGH_001084	LABG_004104	Rep99	ErmB	MLS			no
ARGH_001085	LABG_004104	Rep99	tet(O/W/32/O)	tetracycline			no
ARGH_001086	LABG_004104	Rep99	tet(W)	tetracycline			no
ARGH_001087	LABG_004109	MQ	ANT(6)-Ia	aminoglycoside			no
ARGH_001088	LABG_004126	Rep99	tet(W)	tetracycline			no
ARGH_001089	LABG_004156	MQ	ANT(6)-Ia	aminoglycoside			no
ARGH_001090	LABG_004173	MQ	QnrB10	fluoroquinolone			no
ARGH_001091	LABG_004296	Rep99	tet(W)	tetracycline			no
ARGH_001092	LABG_004350	Rep99	ANT(6)-Ib	aminoglycoside			no
ARGH_001093	LABG_004350	Rep99	SAT-4	aminoglycoside			no
ARGH_001094	LABG_004350	Rep99	tet(44)	tetracycline			no
ARGH_001095	LABG_004367	Rep99	ANT(6)-Ia	aminoglycoside			no
ARGH_001096	LABG_004367	Rep99	tet(M)	tetracycline	1363_tnpA_EU402605.1	IS_or_transposase	yes
ARGH_001097	LABG_004397	MQ	ANT(6)-Ia	aminoglycoside			no
ARGH_001098	LABG_004397	MQ	lnuC	MLS			no
ARGH_001099	LABG_004397	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001100	LABG_004398	MQ	ANT(6)-Ia	aminoglycoside			no
ARGH_001101	LABG_004398	MQ	lnuC	MLS			no
ARGH_001102	LABG_004398	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001103	LABG_004408	Rep99	tet(W)	tetracycline			no
ARGH_001104	LABG_004409	MQ	tet(M)	tetracycline			no
ARGH_001105	LABG_004425	MQ	vatE	MLS			no
ARGH_001106	LABG_004478	Rep99	lnuC	MLS			no
ARGH_001107	LABG_004478	Rep99	tet(W)	tetracycline			no
ARGH_001108	LABG_004528	MQ	ErmB	MLS			no
ARGH_001109	LABG_004528	MQ	tet(M)	tetracycline	1341_Tn916-orf9_KC414929	Tn916	yes
ARGH_001110	LABG_004538	Rep99	tet(W)	tetracycline			no
ARGH_001111	LABG_004538	Rep99	vatE	MLS			no
ARGH_001112	LABG_004550	MQ	tet(W)	tetracycline			no
ARGH_001113	LABG_004604	MQ	tet(O)	tetracycline			no
ARGH_001114	LABG_004620	MQ	ErmB	MLS			no
ARGH_001115	LABG_004620	MQ	tet(M)	tetracycline			no
ARGH_001116	LABG_004637	MQ	TEM-116	beta-lactam	242_ColRNAI_1__DQ298019	plasmid_related	yes
ARGH_001117	LABG_004637	MQ	tet(L)	tetracycline	134_repUS12__rep(pUB110)_AF181950	plasmid_related	yes
ARGH_001118	LABG_004644	Rep99	tet(L)	tetracycline			no
ARGH_001119	LABG_004644	Rep99	tet(M)	tetracycline			no
ARGH_001120	LABG_004700	MQ	lnuC	MLS			no
ARGH_001121	LABG_004700	MQ	tet(W)	tetracycline			no
ARGH_001122	LABG_004703	MQ	tet(W)	tetracycline			no
ARGH_001123	LABG_004705	MQ	lnuC	MLS			no
ARGH_001124	LABG_004705	MQ	tet(W)	tetracycline			no
ARGH_001125	LABG_004706	MQ	tet(W)	tetracycline			no
ARGH_001126	LABG_004707	MQ	tet(W)	tetracycline			no
ARGH_001127	LABG_004708	MQ	tet(W)	tetracycline			no
ARGH_001128	LABG_004709	Rep99	tet(W)	tetracycline			no
ARGH_001129	LABG_004710	Rep99	tet(W)	tetracycline			no
ARGH_001130	LABG_004711	MQ	tet(W)	tetracycline			no
ARGH_001131	LABG_004758	MQ	lnuA	MLS			no
ARGH_001132	LABG_004759	MQ	ErmB	MLS			no
ARGH_001133	LABG_004762	MQ	lnuA	MLS			no
ARGH_001134	LABG_004764	MQ	lnuA	MLS			no
ARGH_001135	LABG_004769	Rep99	lnuA	MLS			no
ARGH_001136	LABG_004769	Rep99	tet(W)	tetracycline			no
ARGH_001137	LABG_004778	MQ	ErmB	MLS			no
ARGH_001138	LABG_004778	MQ	tet(W)	tetracycline			no
ARGH_001139	LABG_004779	Rep99	ErmB	MLS			no
ARGH_001140	LABG_004779	Rep99	tet(W)	tetracycline			no
ARGH_001141	LABG_004807	MQ	tet(W)	tetracycline			no
ARGH_001142	LABG_004862	MQ	QnrB10	fluoroquinolone			no
ARGH_001143	LABG_004871	Rep99	tet(W)	tetracycline			no
ARGH_001144	LABG_004872	Rep99	tet(W)	tetracycline			no
ARGH_001145	LABG_004902	MQ	ErmB	MLS			no
ARGH_001146	LABG_004902	MQ	tet(M)	tetracycline			no
ARGH_001147	LABG_004902	MQ	tet(M)	tetracycline			no
ARGH_001148	LABG_004902	MQ	tet(M)	tetracycline			no
ARGH_001149	LABG_004905	Rep99	ErmB	MLS			no
ARGH_001150	LABG_004905	Rep99	lnuC	MLS			no
ARGH_001151	LABG_004905	Rep99	tet(W)	tetracycline			no
ARGH_001152	LABG_004906	Rep99	ErmB	MLS			no
ARGH_001153	LABG_004906	Rep99	lnuC	MLS			no
ARGH_001154	LABG_004906	Rep99	tet(W)	tetracycline			no
ARGH_001155	LABG_004910	Rep99	ErmA	MLS	2529_tnpA_EU402605.1	IS_or_transposase	yes
ARGH_001156	LABG_004910	Rep99	tet(M)	tetracycline	2529_tnpA_EU402605.1	IS_or_transposase	yes
ARGH_001157	LABG_004978	MQ	ErmA	MLS			no
ARGH_001158	LABG_004978	MQ	tet(M)	tetracycline			no
ARGH_001159	LABG_005064	Rep99	tet(L)	tetracycline			no
ARGH_001160	LABG_005064	Rep99	tet(M)	tetracycline			no
ARGH_001161	LABG_005085	Rep99	tet(L)	tetracycline	1341_Tn916-orf9_KC414929	Tn916	yes
ARGH_001162	LABG_005085	Rep99	tet(M)	tetracycline			no
ARGH_001163	LABG_005094	Rep99	lnuA	MLS			no
ARGH_001164	LABG_005094	Rep99	tet(L)	tetracycline			no
ARGH_001165	LABG_005094	Rep99	tet(M)	tetracycline			no
ARGH_001166	LABG_005163	Rep99	lnuC	MLS			no
ARGH_001167	LABG_005163	Rep99	lnuC	MLS			no
ARGH_001168	LABG_005163	Rep99	tet(W)	tetracycline			no
ARGH_001169	LABG_005164	Rep99	lnuC	MLS			no
ARGH_001170	LABG_005164	Rep99	lnuC	MLS			no
ARGH_001171	LABG_005164	Rep99	tet(W)	tetracycline			no
ARGH_001172	LABG_005238	Rep99	ErmB	MLS	832_tnpA_GU591497.1	IS_or_transposase	yes
ARGH_001173	LABG_005238	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001174	LABG_005239	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001175	LABG_005240	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001176	LABG_005241	Rep99	ErmB	MLS	832_tnpA_GU591497.1	IS_or_transposase	yes
ARGH_001177	LABG_005241	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001178	LABG_005243	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001179	LABG_005270	Rep99	ErmB	MLS			no
ARGH_001180	LABG_005270	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001181	LABG_005296	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001182	LABG_005297	Rep99	tet(M)	tetracycline	1341_Tn916-orf9_KC414929	Tn916	yes
ARGH_001183	LABG_005298	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001184	LABG_005302	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001185	LABG_005314	Rep99	tet(W)	tetracycline			no
ARGH_001186	LABG_005318	Rep99	lnuA	MLS			no
ARGH_001187	LABG_005318	Rep99	tet(W)	tetracycline			no
ARGH_001188	LABG_005320	Rep99	tet(W)	tetracycline			no
ARGH_001189	LABG_005424	Rep99	fexA	phenicol			no
ARGH_001190	LABG_005424	Rep99	tet(M)	tetracycline			no
ARGH_001191	LABG_005432	MQ	fexB	phenicol			no
ARGH_001192	LABG_005432	MQ	poxtA	multidrug			no
ARGH_001193	LABG_005432	MQ	tet(M)	tetracycline			no
ARGH_001194	LABG_005433	Rep99	ErmB	MLS			no
ARGH_001195	LABG_005433	Rep99	Streptococcus suis chloramphenicol acetyltransferase	phenicol			no
ARGH_001196	LABG_005441	MQ	ANT(6)-Ia	aminoglycoside			no
ARGH_001197	LABG_005441	MQ	catA8	phenicol			no
ARGH_001198	LABG_005441	MQ	lnuC	MLS			no
ARGH_001199	LABG_005441	MQ	tet(L)	tetracycline			no
ARGH_001200	LABG_005441	MQ	tet(M)	tetracycline			no
ARGH_001201	LABG_005442	MQ	ANT(6)-Ia	aminoglycoside			no
ARGH_001202	LABG_005442	MQ	catA8	phenicol			no
ARGH_001203	LABG_005442	MQ	tet(L)	tetracycline			no
ARGH_001204	LABG_005442	MQ	tet(M)	tetracycline			no
ARGH_001205	LABG_005443	MQ	ANT(6)-Ia	aminoglycoside			no
ARGH_001206	LABG_005443	MQ	lnuC	MLS			no
ARGH_001207	LABG_005443	MQ	tet(L)	tetracycline			no
ARGH_001208	LABG_005443	MQ	tet(M)	tetracycline			no
ARGH_001209	LABG_005444	MQ	ANT(6)-Ia	aminoglycoside			no
ARGH_001210	LABG_005444	MQ	catA8	phenicol			no
ARGH_001211	LABG_005444	MQ	lnuC	MLS			no
ARGH_001212	LABG_005444	MQ	tet(L)	tetracycline			no
ARGH_001213	LABG_005444	MQ	tet(M)	tetracycline			no
ARGH_001214	LABG_005445	MQ	catA8	phenicol			no
ARGH_001215	LABG_005445	MQ	lnuC	MLS			no
ARGH_001216	LABG_005445	MQ	tet(L)	tetracycline			no
ARGH_001217	LABG_005445	MQ	tet(M)	tetracycline			no
ARGH_001218	LABG_005446	Rep99	ANT(6)-Ia	aminoglycoside			no
ARGH_001219	LABG_005446	Rep99	catA8	phenicol			no
ARGH_001220	LABG_005446	Rep99	lnuC	MLS			no
ARGH_001221	LABG_005446	Rep99	tet(L)	tetracycline			no
ARGH_001222	LABG_005446	Rep99	tet(M)	tetracycline			no
ARGH_001223	LABG_005447	MQ	ANT(6)-Ia	aminoglycoside			no
ARGH_001224	LABG_005447	MQ	catA8	phenicol			no
ARGH_001225	LABG_005447	MQ	lnuC	MLS			no
ARGH_001226	LABG_005447	MQ	tet(L)	tetracycline			no
ARGH_001227	LABG_005447	MQ	tet(M)	tetracycline			no
ARGH_001228	LABG_005448	MQ	ANT(6)-Ia	aminoglycoside			no
ARGH_001229	LABG_005448	MQ	catA8	phenicol			no
ARGH_001230	LABG_005448	MQ	lnuC	MLS			no
ARGH_001231	LABG_005448	MQ	tet(L)	tetracycline			no
ARGH_001232	LABG_005448	MQ	tet(M)	tetracycline			no
ARGH_001233	LABG_005466	Rep99	catA8	phenicol			no
ARGH_001234	LABG_005466	Rep99	ErmA	MLS			no
ARGH_001235	LABG_005466	Rep99	ErmB	MLS			no
ARGH_001236	LABG_005466	Rep99	ErmB	MLS			no
ARGH_001237	LABG_005466	Rep99	ErmT	MLS			no
ARGH_001238	LABG_005466	Rep99	tet(W)	tetracycline			no
ARGH_001239	LABG_005466	Rep99	vatE	MLS			no
ARGH_001240	LABG_005477	Rep99	ErmB	MLS			no
ARGH_001241	LABG_005477	Rep99	lnuA	MLS			no
ARGH_001242	LABG_005477	Rep99	Streptococcus suis chloramphenicol acetyltransferase	phenicol			no
ARGH_001243	LABG_005477	Rep99	tet(W)	tetracycline			no
ARGH_001244	LABG_005488	Rep99	tet(S)	tetracycline	301_tnpA_AB362339.1	IS_or_transposase	yes
ARGH_001245	LABG_005496	Rep99	tet(M)	tetracycline			no
ARGH_001246	LABG_005500	MQ	aadA	aminoglycoside	242_ColRNAI_1__DQ298019	plasmid_related	yes
ARGH_001247	LABG_005503	MQ	tet(W)	tetracycline			no
ARGH_001248	LABG_005508	MQ	tet(W)	tetracycline			no
ARGH_001249	LABG_005508	MQ	tet(W)	tetracycline			no
ARGH_001250	LABG_005508	MQ	tet(W)	tetracycline			no
ARGH_001251	LABG_005523	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001252	LABG_005563	Rep99	ErmB	MLS			no
ARGH_001253	LABG_005563	Rep99	fexA	phenicol			no
ARGH_001254	LABG_005563	Rep99	tet(O/W/32/O)	tetracycline			no
ARGH_001255	LABG_005564	Rep99	AAC(6')-Ie-APH(2'')-Ia bifunctional protein	aminoglycoside	2473_tnpA_KM083808.1	IS_or_transposase	yes
ARGH_001256	LABG_005564	Rep99	ANT(6)-Ia	aminoglycoside	2473_tnpA_KM083808.1	IS_or_transposase	yes
ARGH_001257	LABG_005564	Rep99	ANT(9)-Ia	aminoglycoside	292_tnpA_FKRS01000031.1	IS_or_transposase	yes
ARGH_001258	LABG_005564	Rep99	ErmA	MLS	292_tnpA_FKRS01000031.1	IS_or_transposase	yes
ARGH_001259	LABG_005564	Rep99	tet(L)	tetracycline			no
ARGH_001260	LABG_005564	Rep99	tet(M)	tetracycline			no
ARGH_001261	LABG_005570	Rep99	EreD	MLS			no
ARGH_001262	LABG_005570	Rep99	lnuC	MLS			no
ARGH_001263	LABG_005586	MQ	ANT(9)-Ia	aminoglycoside	292_tnpA_FKRS01000031.1	IS_or_transposase	yes
ARGH_001264	LABG_005586	MQ	ErmA	MLS	292_tnpA_FKRS01000031.1	IS_or_transposase	yes
ARGH_001265	LABG_005586	MQ	fexA	phenicol			no
ARGH_001266	LABG_005587	MQ	ANT(9)-Ia	aminoglycoside	292_tnpA_FKRS01000031.1	IS_or_transposase	yes
ARGH_001267	LABG_005587	MQ	ErmA	MLS	292_tnpA_FKRS01000031.1	IS_or_transposase	yes
ARGH_001268	LABG_005636	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001269	LABG_005741	Rep99	ErmB	MLS			no
ARGH_001270	LABG_005741	Rep99	tet(W)	tetracycline			no
ARGH_001271	LABG_005743	Rep99	tet(W)	tetracycline			no
ARGH_001272	LABG_005754	MQ	poxtA	multidrug			no
ARGH_001273	LABG_005755	Rep99	tetR	tetracycline			no
ARGH_001274	LABG_005756	Rep99	lnuA	MLS			no
ARGH_001275	LABG_005818	MQ	fexB	phenicol			no
ARGH_001276	LABG_005818	MQ	poxtA	multidrug			no
ARGH_001277	LABG_005818	MQ	tet(M)	tetracycline			no
ARGH_001278	LABG_005824	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001279	LABG_005825	Rep99	lnuA	MLS			no
ARGH_001280	LABG_005825	Rep99	tet(L)	tetracycline			no
ARGH_001281	LABG_005825	Rep99	tet(M)	tetracycline			no
ARGH_001282	LABG_005826	Rep99	tet(W)	tetracycline			no
ARGH_001283	LABG_005827	Rep99	lnuA	MLS			no
ARGH_001284	LABG_005827	Rep99	tet(W)	tetracycline			no
ARGH_001285	LABG_005828	Rep99	lnuA	MLS			no
ARGH_001286	LABG_005828	Rep99	tet(L)	tetracycline			no
ARGH_001287	LABG_005828	Rep99	tet(M)	tetracycline			no
ARGH_001288	LABG_005847	Rep99	tet(M)	tetracycline	1363_tnpA_EU402605.1	IS_or_transposase	yes
ARGH_001289	LABG_005861	Rep99	TEM-1	beta-lactam	242_ColRNAI_1__DQ298019	plasmid_related	yes
ARGH_001290	LABG_005864	MQ	ErmA	MLS			no
ARGH_001291	LABG_005864	MQ	tet(M)	tetracycline			no
ARGH_001292	LABG_005866	MQ	ErmA	MLS			no
ARGH_001293	LABG_005866	MQ	tet(M)	tetracycline			no
ARGH_001294	LABG_005883	Rep99	tet(W)	tetracycline			no
ARGH_001295	LABG_005971	Rep99	tet(M)	tetracycline	2529_tnpA_EU402605.1	IS_or_transposase	yes
ARGH_001296	LABG_006046	MQ	TEM-116	beta-lactam	242_ColRNAI_1__DQ298019	plasmid_related	yes
ARGH_001297	LABG_006270	MQ	dfrG	trimethoprim			no
ARGH_001298	LABG_006272	Rep99	dfrG	trimethoprim			no
ARGH_001299	LABG_006272	Rep99	tet(W)	tetracycline			no
ARGH_001300	LABG_006273	Rep99	tet(W)	tetracycline			no
ARGH_001301	LABG_006351	MQ	dfrG	trimethoprim			no
ARGH_001302	LABG_006386	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001303	LABG_006394	MQ	ErmB	MLS	2634_Tn916-orf16_KC414929	Tn916	yes
ARGH_001304	LABG_006394	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001305	LABG_006418	Rep99	ErmB	MLS			no
ARGH_001306	LABG_006418	Rep99	tet(W)	tetracycline			no
ARGH_001307	LABG_006432	MQ	tet(L)	tetracycline			no
ARGH_001308	LABG_006432	MQ	tet(M)	tetracycline			no
ARGH_001309	LABG_006465	MQ	tet(M)	tetracycline	1363_tnpA_EU402605.1	IS_or_transposase	yes
ARGH_001310	LABG_006486	Rep99	lnuC	MLS			no
ARGH_001311	LABG_006494	Rep99	vatE	MLS			no
ARGH_001312	LABG_006495	Rep99	lnuA	MLS			no
ARGH_001313	LABG_006496	Rep99	lnuC	MLS			no
ARGH_001314	LABG_006496	Rep99	vatE	MLS			no
ARGH_001315	LABG_006497	Rep99	lnuC	MLS			no
ARGH_001316	LABG_006498	Rep99	tet(W)	tetracycline			no
ARGH_001317	LABG_006498	Rep99	vatE	MLS			no
ARGH_001318	LABG_006499	Rep99	lnuC	MLS			no
ARGH_001319	LABG_006499	Rep99	tet(L)	tetracycline			no
ARGH_001320	LABG_006499	Rep99	tet(M)	tetracycline			no
ARGH_001321	LABG_006499	Rep99	vatE	MLS			no
ARGH_001322	LABG_006566	Rep99	catA8	phenicol			no
ARGH_001323	LABG_006566	Rep99	lnuA	MLS			no
ARGH_001324	LABG_006566	Rep99	lnuA	MLS			no
ARGH_001325	LABG_006566	Rep99	tet(M)	tetracycline			no
ARGH_001326	LABG_006641	Rep99	tet(M)	tetracycline	1395_Int-Tn916_KC414929.1	Tn916	yes
ARGH_001327	LABG_006660	MQ	lnuA	MLS			no
ARGH_001328	LABG_006678	Rep99	tet(W)	tetracycline			no
ARGH_001329	LABG_006708	MQ	lnuA	MLS			no
ARGH_001330	LABG_006710	MQ	lnuA	MLS			no
ARGH_001331	LABG_006711	MQ	lnuA	MLS			no
ARGH_001332	LABG_006722	MQ	lnuA	MLS			no
ARGH_001333	LABG_006726	MQ	tet(W)	tetracycline			no
ARGH_001334	LABG_006726	MQ	tet(W)	tetracycline			no
ARGH_001335	LABG_006726	MQ	tet(W)	tetracycline			no
ARGH_001336	LABG_006726	MQ	tet(W)	tetracycline			no
ARGH_001337	LABG_006727	Rep99	tet(W)	tetracycline			no
ARGH_001338	LABG_006727	Rep99	tet(W)	tetracycline			no
ARGH_001339	LABG_006727	Rep99	tet(W)	tetracycline			no
ARGH_001340	LABG_006727	Rep99	tet(W)	tetracycline			no
ARGH_001341	LABG_006728	MQ	tet(W)	tetracycline			no
ARGH_001342	LABG_006728	MQ	tet(W)	tetracycline			no
ARGH_001343	LABG_006728	MQ	tet(W)	tetracycline			no
ARGH_001344	LABG_006728	MQ	tet(W)	tetracycline			no
ARGH_001345	LABG_006730	MQ	tet(W)	tetracycline			no
ARGH_001346	LABG_006731	MQ	tet(W)	tetracycline			no
ARGH_001347	LABG_006732	MQ	tet(W)	tetracycline			no
ARGH_001348	LABG_006733	MQ	lnuA	MLS			no
ARGH_001349	LABG_006733	MQ	tet(M)	tetracycline	872_Tn916-orf6_KC414929	Tn916	yes
ARGH_001350	LABG_006737	Rep99	tet(W)	tetracycline			no
ARGH_001351	LABG_006738	MQ	lnuA	MLS			no
ARGH_001352	LABG_006738	MQ	tet(M)	tetracycline	872_Tn916-orf6_KC414929	Tn916	yes
ARGH_001353	LABG_006739	MQ	tet(W)	tetracycline			no
ARGH_001354	LABG_006762	Rep99	tet(W)	tetracycline			no
ARGH_001355	LABG_006764	Rep99	tet(W)	tetracycline			no
ARGH_001356	LABG_006765	MQ	tet(W)	tetracycline			no
ARGH_001357	LABG_006774	MQ	fexB	phenicol			no
ARGH_001358	LABG_006774	MQ	poxtA	multidrug			no
ARGH_001359	LABG_006774	MQ	tet(M)	tetracycline			no
ARGH_001360	LABG_006876	Rep99	tet(W)	tetracycline			no
ARGH_001361	LABG_006877	MQ	tet(M)	tetracycline	1999_Tn916-orf13_KC414929	Tn916	yes
ARGH_001362	LABG_006897	Rep99	AAC(6')-Ie-APH(2'')-Ia bifunctional protein	aminoglycoside			no
ARGH_001363	LABG_006897	Rep99	ANT(6)-Ia	aminoglycoside			no
ARGH_001364	LABG_006897	Rep99	ErmC	MLS	301_tnpA_AB362339.1	IS_or_transposase	yes
ARGH_001365	LABG_006897	Rep99	fexB	phenicol	301_tnpA_AB362339.1	IS_or_transposase	yes
ARGH_001366	LABG_006897	Rep99	fexB	phenicol	7_rep2_1_ORF(E.faeciumContig1183)_JDOE	plasmid_related	yes
ARGH_001367	LABG_006897	Rep99	poxtA	multidrug	301_tnpA_AB362339.1	IS_or_transposase	yes
ARGH_001368	LABG_006897	Rep99	poxtA	multidrug	301_tnpA_AB362339.1	IS_or_transposase	yes
ARGH_001369	LABG_006897	Rep99	tet(L)	tetracycline			no
ARGH_001370	LABG_006897	Rep99	tet(M)	tetracycline			no
ARGH_001371	LABG_006897	Rep99	vatE	MLS	301_tnpA_AB362339.1	IS_or_transposase	yes
ARGH_001372	LABG_006922	Rep99	lnuA	MLS			no
ARGH_001373	LABG_006922	Rep99	mef(F)	MLS			no
ARGH_001374	LABG_006922	Rep99	msr(G)	MLS			no
ARGH_001375	LABG_006938	Rep99	ErmB	MLS			no
ARGH_001376	LABG_006938	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001377	LABG_006939	Rep99	ANT(6)-Ia	aminoglycoside			no
ARGH_001378	LABG_006939	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001379	LABG_006943	MQ	tet(M)	tetracycline			no
ARGH_001380	LABG_006945	MQ	tet(M)	tetracycline	1363_tnpA_EU402605.1	IS_or_transposase	yes
ARGH_001381	LABG_006960	Rep99	tet(W)	tetracycline			no
ARGH_001382	LABG_006984	MQ	mef(H)	MLS			no
ARGH_001383	LABG_007206	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001384	LABG_007207	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001385	LABG_007208	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001386	LABG_007220	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001387	LABG_007221	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001388	LABG_007222	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001389	LABG_007223	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001390	LABG_007224	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001391	LABG_007225	Rep99	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001392	LABG_007226	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001393	LABG_007230	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001394	LABG_007231	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_001395	LABG_007233	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
